날짜,시간,앱_버전,크래시_수,평균_응답속도_ms,에러율_percent,활성_사용자_수,메모리_사용률_percent,ANR_횟수,OS_버전,디바이스_유형
2026-06-01,00:00,1.2.5,2,245,0.8,1250,65,0,Android_12,스마트폰
2026-06-01,06:00,1.2.5,1,198,0.3,2840,58,0,Android_12,스마트폰
2026-06-01,12:00,1.2.5,5,312,1.2,5120,72,1,Android_12,스마트폰
2026-06-01,18:00,1.2.5,3,278,0.9,4520,68,0,Android_12,스마트폰
2026-06-02,00:00,1.2.5,1,210,0.4,1580,61,0,Android_13,스마트폰
2026-06-02,06:00,1.2.5,2,225,0.6,3100,64,0,Android_13,스마트폰
2026-06-02,12:00,1.2.5,4,295,1.1,5800,75,1,Android_12,스마트폰
2026-06-02,18:00,1.2.5,2,240,0.7,4200,69,0,Android_13,스마트폰
2026-06-03,00:00,1.2.6,1,195,0.2,1420,59,0,Android_14,스마트폰
2026-06-03,06:00,1.2.6,1,180,0.3,2950,55,0,Android_14,스마트폰
2026-06-03,12:00,1.2.6,3,265,0.8,6200,70,0,Android_13,스마트폰
2026-06-03,18:00,1.2.6,2,220,0.5,5100,66,0,Android_14,스마트폰
2026-06-04,00:00,1.2.6,1,205,0.4,1680,62,0,Android_12,스마트폰
2026-06-04,06:00,1.2.6,0,165,0.2,3250,54,0,Android_13,스마트폰
2026-06-04,12:00,1.2.6,2,235,0.6,6500,68,0,Android_14,스마트폰
2026-06-04,18:00,1.2.6,1,200,0.3,5800,65,0,Android_13,스마트폰
