date,category,product,broadcast_time,sales,orders,host
2026-04-01,주방,세라믹 코팅 프라이팬 세트,21:00,18761099,103,김민지
2026-04-01,패션,남성 캐주얼 블레이저,09:00,5845808,33,윤채원
2026-04-01,건강,루테인·오메가3 세트,21:00,19602769,104,오소영
2026-04-01,가전,스틱형 무선청소기,07:00,16395974,77,오소영
2026-04-01,식품,샤인머스캣 2송이,09:00,11233598,52,최서연
2026-04-02,주방,주방 정리 선반 세트,14:00,5942232,47,최서연
2026-04-02,패션,스트레이트 데님 팬츠,11:00,11072270,93,윤채원
2026-04-02,건강,장 건강 프리바이오틱스,16:00,12781015,80,최서연
2026-04-02,가전,음이온 가습기,21:00,12889218,80,이수현
2026-04-02,식품,훈제 연어 세트,16:00,16969132,147,이수현
2026-04-03,주방,핸드블렌더 세트,14:00,12713248,64,김민지
2026-04-03,패션,남성 캐주얼 블레이저,16:00,15671893,83,최서연
2026-04-03,건강,혈행 개선 피크노제놀,21:00,5463904,26,이수현
2026-04-03,가전,포터블 블루투스 스피커,07:00,12327651,91,최서연
2026-04-03,식품,국내산 벌꿀 세트,09:00,12891461,96,박지영
2026-04-04,주방,세라믹 코팅 프라이팬 세트,16:00,12726761,103,최서연
2026-04-04,패션,남성 캐주얼 블레이저,19:00,12322125,98,최서연
2026-04-04,건강,루테인·오메가3 세트,07:00,9455549,79,김민지
2026-04-04,가전,휴대용 선풍기,11:00,9157310,83,한지수
2026-04-04,식품,제주 노지 감귤 3kg,14:00,8358441,35,윤채원
2026-04-05,주방,프리미엄 전기밥솥 10인용,21:00,21326413,139,윤채원
2026-04-05,패션,UV차단 래쉬가드,07:00,12866365,71,김민지
2026-04-05,건강,간 건강 밀크씨슬,11:00,12771509,62,오소영
2026-04-05,가전,가정용 제습기 12L,14:00,15635333,74,정예린
2026-04-05,식품,유기농 쌀 10kg,16:00,23083632,112,최서연
2026-04-06,주방,프리미엄 전기밥솥 10인용,07:00,13077912,105,김민지
2026-04-06,패션,크로스백 세트,07:00,11867580,52,최서연
2026-04-06,건강,간 건강 밀크씨슬,09:00,12230704,61,윤채원
2026-04-06,가전,음이온 가습기,07:00,19273342,107,오소영
2026-04-06,식품,유기농 쌀 10kg,07:00,6470657,26,최서연
2026-04-07,주방,IH 인덕션 레인지,21:00,18297032,127,윤채원
2026-04-07,패션,남성 캐주얼 블레이저,09:00,7074998,28,박지영
2026-04-07,건강,루테인·오메가3 세트,07:00,12493001,86,최서연
2026-04-07,가전,전기 족욕기,16:00,10739949,60,오소영
2026-04-07,식품,제주 노지 감귤 3kg,14:00,5741493,46,정예린
2026-04-08,주방,핸드블렌더 세트,09:00,7353147,31,김민지
2026-04-08,패션,여성 니트 가디건,16:00,7960849,74,박지영
2026-04-08,건강,혈행 개선 피크노제놀,09:00,19311294,85,이수현
2026-04-08,가전,스틱형 무선청소기,19:00,18764636,91,오소영
